t_ms,ax,ay,az,gx,gy,gz
1392987.0,384.0,-784.0,15176.0,-101.0,-39.0,13.0
1393091.0,492.0,-744.0,15240.0,-58.0,-27.0,6.0
1393195.0,444.0,-804.0,15152.0,-114.0,-48.0,17.0
1393299.0,484.0,-836.0,15168.0,-110.0,-53.0,48.0
1393403.0,604.0,-828.0,15164.0,-119.0,-22.0,14.0
1393507.0,520.0,-836.0,15260.0,-112.0,-51.0,16.0
1393611.0,420.0,-856.0,15072.0,-90.0,-30.0,28.0
1393715.0,604.0,-920.0,15108.0,-105.0,-33.0,38.0
1393819.0,448.0,-768.0,15180.0,-134.0,-36.0,20.0
1393923.0,416.0,-824.0,15140.0,-127.0,-22.0,38.0
1394027.0,472.0,-748.0,15040.0,-134.0,-35.0,14.0
1394131.0,376.0,-732.0,15104.0,-115.0,10.0,30.0
1394235.0,592.0,-744.0,14964.0,-67.0,-29.0,23.0
1394344.0,536.0,-828.0,15244.0,-113.0,-32.0,37.0
1394448.0,544.0,-912.0,15144.0,4.0,-137.0,11.0
1394552.0,360.0,-880.0,15136.0,-86.0,-32.0,-6.0
1394656.0,608.0,-764.0,15392.0,-80.0,-40.0,26.0
1394760.0,488.0,-800.0,15220.0,-96.0,-28.0,68.0
1394864.0,428.0,-728.0,15260.0,-100.0,-57.0,21.0
1394968.0,552.0,-896.0,15228.0,-162.0,-47.0,27.0
1395072.0,376.0,-876.0,15308.0,-118.0,-40.0,36.0
1395176.0,460.0,-788.0,15208.0,-88.0,-46.0,40.0
1395280.0,428.0,-796.0,15224.0,-80.0,-38.0,22.0
1395384.0,604.0,-756.0,15164.0,-133.0,-43.0,38.0
